TimeStamp,ch1,ch2,ch3,ch4
1213266.8158,5831.29,34638.55,35024.55,36178.26
1213266.8198,5833.48,34643.42,35028.51,36180.41
1213266.8238,5839.49,34640.7,35035.33,36188.75
1213266.8278,5854.75,34652.71,35047.25,36199.72
1213266.8318,5855.08,34639.89,35040.48,36196.86
1213266.8358,5857.99,34641.7,35038.86,36195.66
1213266.8398,5848.93,34641.56,35031.7,36187.22
1213266.8438,5841.64,34630.26,35024.55,36180.5
1213266.8478,5838.11,34627.58,35021.21,36179.59
1213266.8518,5830.38,34624.44,35013.63,36171.77
1213266.8558,5818.51,34617.81,35006.81,36165.1
1213266.8598,5815.7,34616.24,35003.81,36160.9
1213266.8638,5824.19,34626.54,35016.35,36174.25
1213266.8678,5829.38,34628.54,35020.74,36182.36
1213266.8718,5830.96,34630.11,35022.12,36182.69
1213266.8758,5823.18,34625.68,35018.16,36175.92
1213266.8798,5823.04,34620.1,35012.39,36168.91
1213266.8835,5829.72,34624.39,35015.11,36172.01
1213266.8875,5838.3,34628.92,35021.83,36175.45
1213266.8915,5836.63,34625.58,35021.83,36172.35
1213266.8955,5832.34,34630.59,35020.83,36169.15
1213266.8995,5833.77,34633.35,35019.74,36165.62
1213266.9035,5831.77,34624.29,35016.59,36162.05
1213266.9075,5840.35,34619.72,35017.35,36164.96
1213266.9115,5851.89,34635.45,35023.74,36173.44
1213266.9155,5859.76,34646.04,35030.99,36182.93
1213266.9195,5853.61,34648.8,35035.52,36189.66
1213266.9235,5852.32,34656.0,35037.81,36196.33
1213266.9275,5852.65,34647.85,35034.33,36197.19
1213266.9315,5844.07,34640.13,35026.32,36190.94
1213266.9355,5834.53,34639.31,35019.97,36186.41
1213266.9395,5842.88,34654.67,35028.65,36195.0
1213266.9435,5839.63,34642.99,35022.36,36188.99
1213266.9475,5840.49,34640.13,35020.78,36188.46
1213266.9515,5846.55,34645.75,35023.17,36191.47
1213266.9555,5846.45,34636.88,35016.4,36187.56
1213266.9595,5846.93,34631.69,35018.97,36189.66
1213266.9635,5854.32,34642.46,35031.51,36197.62
1213266.9675,5860.42,34646.52,35036.0,36200.53
1213266.9715,5870.53,34645.99,35039.0,36204.34
1213266.9755,5898.91,34656.05,35050.35,36212.31
1213266.9795,5909.06,34673.5,35061.79,36221.56
1213266.9835,5910.02,34657.77,35057.45,36220.36
1213266.9875,5915.21,34657.86,35059.36,36218.22
1213266.9915,5906.15,34660.68,35057.07,36213.07
1213266.9955,5894.52,34658.63,35048.87,36201.86
1213266.9995,5885.32,34648.85,35041.29,36195.19
1213267.0035,5873.01,34646.85,35042.34,36194.52
1213267.0075,5872.73,34660.96,35052.45,36203.48
1213267.0115,5882.6,34664.06,35058.93,36210.68
1213267.0152,5910.83,34682.95,35076.43,36230.62
1213267.0192,5913.88,34689.38,35082.25,36238.15
1213267.0232,5914.74,34699.59,35089.93,36243.2
1213267.0272,5912.92,34692.29,35085.25,36239.53
1213267.0312,5914.31,34696.15,35086.87,36243.59
1213267.0352,5902.39,34697.63,35085.63,36243.4
1213267.0392,5892.13,34691.77,35078.96,36237.53
