TimeStamp,ch1,ch2,ch3,ch4
8557.1844,68366.44,36588.43,32254.56,34266.62
8557.1884,68355.52,36577.23,32241.49,34259.37
8557.1924,68331.92,36551.77,32218.65,34241.59
8557.1961,68322.57,36536.08,32209.35,34231.33
8557.2001,68351.42,36559.87,32240.3,34255.89
8557.2041,68337.59,36544.42,32227.57,34241.63
8557.2081,68320.57,36537.27,32206.49,34233.15
8557.2121,68335.54,36553.77,32213.5,34250.12
8557.2161,68324.48,36540.23,32201.01,34233.91
8557.2201,68324.38,36540.32,32204.35,34230.38
8557.2241,68312.08,36532.55,32198.39,34223.27
8557.2281,68320.38,36540.46,32205.25,34239.68
8557.2321,68323.81,36538.8,32208.35,34251.26
8557.2361,68334.16,36543.14,32221.51,34262.57
8557.2401,68337.83,36541.56,32229.86,34260.56
8557.2441,68354.66,36557.77,32243.88,34277.01
8557.2481,68333.35,36542.37,32221.13,34261.99
8557.2521,68328.67,36535.93,32221.27,34261.85
8557.2561,68347.13,36548.48,32243.45,34281.69
8557.2601,68362.39,36559.73,32259.99,34293.32
8557.2641,68363.82,36563.73,32264.38,34291.89
8557.2681,68358.1,36564.16,32256.8,34290.6
8557.2721,68391.38,36594.97,32287.65,34328.32
8557.2761,68392.19,36592.06,32292.42,34329.75
8557.2801,68358.38,36554.77,32262.52,34294.66
8557.2841,68368.87,36566.55,32276.49,34309.53
8557.2881,68356.24,36556.44,32267.86,34310.39
8557.2921,68357.43,36555.87,32269.1,34319.88
8557.2961,68377.31,36573.27,32285.55,34343.06
8557.3001,68367.97,36560.92,32282.55,34332.04
8557.3041,68349.61,36544.28,32270.15,34313.25
8557.3081,68368.25,36570.7,32290.89,34335.0
8557.3121,68356.95,36550.72,32267.96,34330.75
8557.3161,68347.94,36534.36,32260.56,34321.17
8557.3201,68360.38,36544.52,32277.78,34331.95
8557.3241,68358.38,36542.37,32289.89,34331.28
8557.3279,68333.54,36519.67,32253.22,34310.15
8557.3319,68362.29,36544.95,32296.23,34339.77
8557.3359,68360.48,36543.85,32280.5,34335.95
8557.3399,68364.44,36547.19,32286.79,34335.47
8557.3439,68366.34,36542.18,32290.46,34332.8
8557.3479,68382.37,36559.01,32298.43,34349.97
8557.3519,68394.1,36578.18,32303.86,34364.66
8557.3559,68415.22,36595.68,32336.76,34381.11
8557.3599,68399.58,36576.23,32323.79,34361.41
8557.3639,68388.14,36568.5,32309.01,34351.97
8557.3679,68393.67,36579.57,32315.16,34365.32
8557.3719,68346.41,36539.23,32274.77,34326.89
8557.3759,68368.16,36558.2,32313.16,34345.68
8557.3799,68378.36,36560.4,32317.98,34350.16
8557.3839,68349.18,36530.74,32288.65,34317.02
8557.3879,68329.91,36517.34,32259.33,34307.05
8557.3919,68352.66,36536.98,32281.55,34333.9
8557.3959,68387.33,36566.88,32320.46,34367.9
8557.3999,68345.27,36524.4,32274.54,34325.65
8557.4039,68356.0,36533.88,32280.74,34332.66
8557.4079,68366.11,36543.99,32299.0,34344.01
8557.4119,68332.35,36507.09,32286.98,34310.49
8557.4159,68323.57,36499.41,32259.85,34297.85
8557.4199,68359.81,36535.84,32288.6,34329.37
8557.4239,68335.64,36508.14,32268.81,34299.81
8557.4279,68339.26,36510.0,32274.92,34303.34
8557.4319,68351.04,36523.11,32288.46,34316.93
8557.4359,68369.06,36543.99,32307.82,34332.14
8557.4399,68349.99,36526.73,32281.16,34307.48
8557.4439,68346.22,36524.49,32281.83,34300.33
8557.4479,68354.95,36534.74,32298.0,34311.97
8557.4519,68347.13,36523.25,32280.64,34303.96
8557.4559,68353.8,36529.45,32292.42,34310.73
8557.4596,68336.88,36511.95,32288.51,34291.75
8557.4636,68347.75,36522.44,32292.7,34298.81
8557.4676,68352.9,36532.31,32284.41,34313.59
8557.4716,68372.69,36553.34,32306.29,34330.32
8557.4756,68368.73,36554.77,32302.53,34325.08
8557.4796,68358.48,36548.05,32300.52,34314.68
8557.4836,68294.1,36476.81,32240.73,34244.02
8557.4876,68319.52,36495.4,32261.61,34266.86
8557.4916,68332.25,36508.61,32276.87,34281.16
8557.4956,68309.6,36490.44,32253.17,34250.07
8557.4996,68292.91,36474.57,32232.24,34221.61
8557.5036,68357.95,36538.56,32300.71,34280.49
8557.5076,68355.62,36536.65,32304.91,34283.45
8557.5116,68289.72,36475.76,32237.68,34221.94
8557.5156,68277.51,36466.89,32224.18,34204.92
8557.5196,68280.47,36472.32,32227.42,34201.91
8557.5236,68300.3,36494.07,32248.41,34212.78
8557.5276,68293.39,36482.48,32242.21,34203.1
8557.5316,68235.45,36423.5,32186.7,34147.17
8557.5356,68231.4,36420.06,32179.88,34137.54
8557.5396,68245.32,36433.27,32195.33,34146.27
8557.5436,68254.72,36440.66,32205.68,34153.66
8557.5476,68235.21,36420.68,32187.75,34142.88
8557.5516,68246.09,36433.56,32195.24,34161.14
8557.5556,68253.72,36443.29,32198.86,34161.67
8557.5596,68235.21,36431.13,32180.55,34138.21
8557.5636,68241.99,36433.99,32191.52,34143.21
8557.5676,68253.1,36439.28,32204.15,34154.61
8557.5716,68243.32,36428.93,32190.85,34143.98
8557.5756,68236.5,36423.59,32184.32,34129.81
8557.5796,68263.35,36452.73,32210.07,34151.13
8557.5836,68285.04,36474.42,32233.39,34167.63
8557.5876,68261.63,36451.01,32210.59,34149.46
8557.5913,68248.66,36437.61,32197.86,34134.92
8557.5953,68255.29,36444.67,32206.49,34139.45
8557.5993,68253.29,36445.86,32204.77,34134.68
8557.6033,68263.54,36458.12,32216.98,34142.83
8557.6073,68273.98,36465.32,32229.28,34157.09
8557.6113,68247.71,36442.76,32201.96,34138.68
8557.6153,68231.3,36429.12,32181.22,34124.28
8557.6193,68202.98,36402.75,32150.42,34089.43
8557.6233,68214.62,36407.05,32163.58,34097.87
8557.6273,68229.02,36415.1,32175.69,34115.6
8557.6313,68214.76,36403.23,32160.14,34107.16
