TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
1213273.153,892.43,-191.113,-386.74,560.0,-1277.5,-1207.5,1247.92,-141.36,85.12
1213273.203,896.944,-197.64,-388.814,726.25,-1671.25,-875.0,1264.64,-132.24,91.2
1213273.253,894.016,-202.093,-392.474,1251.25,-2441.25,-673.75,1250.96,-145.92,76.0
1213273.303,894.87,-198.311,-394.426,323.75,-1391.25,-980.0,1250.96,-147.44,80.56
1213273.353,894.626,-199.714,-392.291,140.0,-910.0,-1330.0,1257.04,-144.4,83.6
1213273.403,894.26,-195.871,-394.182,-647.5,-621.25,-1986.25,1260.08,-147.44,71.44
1213273.453,896.395,-194.407,-393.694,-1863.75,96.25,-1793.75,1263.12,-142.88,89.68
1213273.503,890.234,-205.631,-388.448,-1872.5,-411.25,-1942.5,1257.04,-135.28,77.52
1213273.553,861.808,-176.839,-381.494,-2677.5,-8198.75,1977.5,1267.68,-147.44,88.16
1213273.603,906.277,-194.895,-395.585,-5460.0,-9012.5,5617.5,1240.32,-147.44,71.44
1213273.653,897.737,-234.118,-400.038,1155.0,-7525.0,-2432.5,1266.16,-162.64,86.64
1213273.703,902.495,-223.443,-406.26,4156.25,-4007.5,-6895.0,1273.76,-155.04,76.0
1213273.753,892.003,-183.183,-410.835,4121.25,-1330.0,-6037.5,1240.32,-147.44,66.88
1213273.803,881.877,-181.902,-413.763,1032.5,-490.0,-2257.5,1249.44,-142.88,77.52
1213273.853,892.186,-193.736,-417.728,-2756.25,507.5,-70.0,1252.48,-155.04,69.92
1213273.903,884.866,-194.59,-415.227,-4558.75,910.0,306.25,1249.44,-141.36,66.88
1213273.953,892.857,-199.104,-414.373,-5136.25,2458.75,656.25,1255.52,-144.4,76.0
1213274.003,881.816,-206.241,-406.992,-3937.5,2030.0,350.0,1261.6,-156.56,66.88
1213274.053,884.073,-207.339,-402.356,-2800.0,936.25,-656.25,1263.12,-145.92,85.12
1213274.103,886.452,-206.363,-400.221,-1837.5,1776.25,-1872.5,1255.52,-141.36,60.8
1213274.153,889.563,-204.289,-398.635,-1163.75,1093.75,-2266.25,1264.64,-148.96,86.64
1213274.203,890.905,-200.385,-398.635,-927.5,1207.5,-2528.75,1241.84,-138.32,71.44
1213274.253,885.72,-199.592,-399.672,-1478.75,-131.25,-1750.0,1257.04,-136.8,82.08
1213274.303,891.698,-189.71,-401.136,-3115.0,-1242.5,-1636.25,1247.92,-130.72,92.72
1213274.353,891.515,-196.237,-399.733,-2572.5,-866.25,-1207.5,1246.4,-145.92,76.0
1213274.403,888.77,-201.422,-400.953,-2502.5,-236.25,-1443.75,1258.56,-142.88,82.08
1213274.453,890.356,-198.555,-400.953,-1776.25,-533.75,-1531.25,1241.84,-144.4,77.52
1213274.503,891.21,-200.629,-403.027,-1601.25,-717.5,-1820.0,1247.92,-150.48,80.56
1213274.553,895.968,-193.248,-404.064,-2476.25,140.0,-2467.5,1228.16,-135.28,88.16
1213274.603,887.001,-193.492,-402.112,-2642.5,-595.0,-2003.75,1250.96,-141.36,71.44
1213274.653,886.025,-192.577,-404.186,-2231.25,-1382.5,-1697.5,1260.08,-135.28,88.16
1213274.703,894.321,-192.455,-402.783,-1837.5,-43.75,-1828.75,1249.44,-147.44,72.96
1213274.753,887.794,-193.431,-402.783,-1400.0,-393.75,-1260.0,1257.04,-147.44,94.24
1213274.803,894.504,-195.322,-403.393,-490.0,-183.75,-1225.0,1237.28,-138.32,86.64
1213274.853,893.589,-191.662,-400.648,-61.25,315.0,-1233.75,1263.12,-155.04,82.08
1213274.903,891.759,-195.993,-403.088,-315.0,52.5,-673.75,1260.08,-138.32,92.72
1213274.953,890.539,-191.296,-400.892,-866.25,-743.75,-1330.0,1260.08,-136.8,88.16
1213275.003,891.637,-197.03,-397.354,-656.25,-813.75,-831.25,1255.52,-139.84,100.32
1213275.053,893.101,-200.446,-398.147,-1793.75,253.75,-1032.5,1250.96,-144.4,88.16
1213275.103,886.757,-201.605,-398.574,-1102.5,-402.5,-927.5,1255.52,-144.4,80.56
1213275.153,890.234,-200.69,-403.881,-1041.25,-665.0,-1671.25,1263.12,-148.96,95.76
1213275.203,893.833,-195.871,-400.892,-1575.0,-148.75,-1855.0,1250.96,-139.84,92.72
1213275.253,891.698,-198.128,-397.293,-1566.25,-70.0,-1190.0,1260.08,-130.72,88.16
1213275.303,890.966,-200.934,-395.463,-1032.5,227.5,-1855.0,1252.48,-155.04,77.52
1213275.353,890.966,-195.749,-393.999,-1242.5,-630.0,-2012.5,1266.16,-142.88,85.12
1213275.403,888.221,-193.797,-398.269,-2590.0,-2511.25,-1522.5,1250.96,-135.28,76.0
1213275.453,896.883,-194.224,-404.064,-2817.5,-2012.5,-1321.25,1263.12,-138.32,65.36
1213275.503,886.879,-206.485,-406.565,-1286.25,-1190.0,-2283.75,1266.16,-145.92,72.96
1213275.553,891.393,-192.455,-407.175,-78.75,-411.25,-3841.25,1252.48,-138.32,66.88
1213275.603,890.478,-184.464,-408.334,-586.25,-113.75,-1986.25,1261.6,-145.92,98.8
1213275.653,887.489,-180.438,-407.236,-770.0,-568.75,-490.0,1260.08,-136.8,71.44
1213275.703,889.197,-199.043,-404.43,-2423.75,770.0,-735.0,1269.2,-153.52,76.0
1213275.753,888.526,-197.945,-398.086,-1006.25,1085.0,-2030.0,1244.88,-136.8,83.6
1213275.803,890.966,-192.15,-396.378,262.5,236.25,-1662.5,1246.4,-124.64,79.04
1213275.853,896.212,-191.113,-398.513,-787.5,-577.5,-1330.0,1282.88,-135.28,91.2
1213275.903,893.162,-189.588,-395.951,-1793.75,-560.0,-1163.75,1257.04,-135.28,65.36
1213275.953,891.332,-195.932,-399.55,-1513.75,-1575.0,-1058.75,1258.56,-144.4,86.64
1213276.003,892.491,-194.651,-402.356,-1496.25,-1268.75,-1312.5,1250.96,-133.76,100.32
1213276.053,893.284,-191.967,-404.308,-1671.25,-1295.0,-1496.25,1260.08,-135.28,76.0
1213276.103,892.857,-194.712,-405.955,-1461.25,-761.25,-1478.75,1269.2,-135.28,85.12
1213276.153,890.417,-191.662,-402.783,-1680.0,-253.75,-1785.0,1255.52,-136.8,72.96
1213276.203,891.576,-190.259,-403.82,-971.25,-105.0,-1688.75,1264.64,-142.88,92.72
1213276.253,893.101,-189.405,-402.173,-1128.75,192.5,-1715.0,1255.52,-142.88,72.96
1213276.303,891.21,-188.734,-400.953,-1505.0,105.0,-1890.0,1264.64,-142.88,72.96
1213276.353,890.478,-190.198,-403.698,-2012.5,-323.75,-1601.25,1258.56,-150.48,71.44
1213276.403,900.97,-188.246,-403.515,-2205.0,175.0,-1793.75,1252.48,-133.76,92.72
1213276.453,894.382,-183.732,-395.402,-463.75,271.25,-1408.75,1257.04,-141.36,79.04
1213276.503,888.282,-189.832,-391.315,-1233.75,-280.0,-918.75,1247.92,-139.84,72.96
1213276.553,894.077,-191.723,-398.574,-971.25,-1898.75,-936.25,1254.0,-147.44,80.56
1213276.603,895.785,-193.858,-402.844,-1233.75,-1671.25,-805.0,1240.32,-150.48,72.96
1213276.653,890.478,-195.749,-406.443,-1898.75,-927.5,-1583.75,1244.88,-144.4,77.52
1213276.703,890.539,-192.821,-402.844,-1793.75,-918.75,-1662.5,1250.96,-141.36,80.56
